,,,Total population (Both sexes),Japanese population (Both sexes),Foreigners (Total),Basic resident register population (Total),Total population (under 15),Total population (15-64),Total population (65 and over),Densely inhabited districts population,Number of live births,Number of deaths,Number of in-migrants from other municipalities,Number of out-migrants to other municipalities,Daytime population,Number of households (Total),Number of private households,Nuclear families,One-person households,Number of nuclear families with household members 65 years of age and over,Number of aged-couple households (Only aged couple),Number of aged-single-person households (Aged 65 and over),Marriages,Divorces,
,,,A1101,A1102,A1700,A2301,A1301,A1302,A1303,A1801,A4101,A4200,A5103,A5104,A6107,A7101,A710101,A810102,A810105,A811102,A8201,A8301,A9101,A9201,
11206,行田市　　　　,Gyoda-shi,"82,113","80,945",977,"80,236","9,475","49,541","22,874","48,808",371,934,"2,305","2,477","73,756","31,015","30,975","19,587","7,452","8,526","4,021","3,065",249,128,11206
11207,秩父市　　　　,Chichibu-shi,"63,555","63,070",432,"61,159","7,683","36,321","19,493","27,165",336,902,"1,078","1,368","61,037","24,038","23,989","14,579","5,845","6,620","3,403","3,104",161,86,11207
11208,所沢市　　　　,Tokorozawa-shi,"340,386","332,308","2,809","344,216","39,480","207,941","85,215","302,110","2,162","3,277","13,943","13,139","293,197","145,834","145,724","87,861","48,332","35,534","18,433","13,179","1,330",478,11208
11209,飯能市　　　　,Hanno-shi,"80,715","79,756",588,"79,123","8,693","48,820","22,896","53,104",432,909,"2,429","2,474","72,051","31,749","31,708","20,200","8,660","8,839","4,298","3,319",221,103,11209
11210,加須市　　　　,Kazo-shi,"112,229","111,116","1,039","112,792","13,510","69,647","28,991","42,796",546,"1,250","3,771","3,405","103,876","41,034","40,972","26,432","8,845","10,616","4,896","3,411",375,153,11210
11211,本庄市　　　　,Honjo-shi,"77,881","75,966","1,477","77,900","9,103","47,028","20,965","42,592",411,915,"2,815","2,724","80,065","31,004","30,943","17,773","9,635","7,039","3,288","3,489",258,130,11211
11212,東松山市　　　,Higashimatsuyama-shi,"91,437","89,358","1,428","90,456","10,787","57,064","23,067","44,162",531,909,"3,695","3,330","91,731","37,224","37,147","22,322","11,554","9,032","4,505","3,482",351,109,11212
11214,春日部市　　　,Kasukabe-shi,"232,709","228,702","2,400","233,391","26,611","139,656","64,924","205,554","1,265","2,529","7,769","7,451","192,794","94,463","94,379","60,264","26,192","26,551","13,200","9,596",817,371,11214
11215,狭山市　　　　,Sayama-shi,"152,405","150,072","1,651","149,826","17,132","91,010","43,489","130,086",796,"1,566","5,452","5,553","144,617","62,028","61,938","39,936","17,568","17,913","9,346","6,244",514,215,11215
11216,羽生市　　　　,Hanyu-shi,"54,874","53,652",672,"54,304","6,338","33,261","14,788","20,399",248,601,"1,704","1,723","53,249","20,366","20,298","12,226","5,184","5,158","2,437","1,897",172,75,11216
11217,鴻巣市　　　　,Konosu-shi,"118,072","116,729","1,146","117,995","14,096","72,869","30,968","86,048",667,"1,156","3,888","3,857","94,392","45,043","44,996","30,400","10,417","12,222","6,160","4,119",381,145,11217
11218,深谷市　　　　,Fukaya-shi,"143,811","141,357","2,111","142,803","18,574","87,536","37,423","66,775",869,"1,664","4,294","3,917","135,309","53,384","53,282","33,495","12,868","13,402","6,368","4,697",464,187,11218
11219,上尾市　　　　,Ageo-shi,"225,196","221,569","2,081","229,517","28,557","137,664","57,052","202,848","1,439","2,135","9,386","8,014","186,208","91,399","91,330","59,618","25,453","23,730","12,075","8,748",876,315,11219
11221,草加市　　　　,Soka-shi,"247,034","242,138","4,204","250,225","30,223","150,966","57,807","244,784","1,459","2,108","11,471","10,343","207,551","105,827","105,737","60,669","36,599","23,581","11,123","9,330","1,009",375,11221
11222,越谷市　　　　,Koshigaya-shi,"337,498","331,637","4,152","345,482","44,429","211,577","80,330","304,711","2,381","3,023","13,360","12,025","294,715","136,460","136,363","84,966","40,065","32,032","15,180","12,088","1,474",553,11222
11223,蕨市　　　　　,Warabi-shi,"72,260","68,268","3,738","75,749","7,804","47,699","16,560","72,260",492,701,"6,191","5,798","60,126","34,174","34,143","17,259","14,552","6,283","2,848","3,707",388,92,11223
11224,戸田市　　　　,Toda-shi,"136,150","131,241","3,843","141,033","19,758","89,730","21,764","136,109","1,205",945,"8,909","8,702","124,326","59,432","59,243","32,306","22,587","8,205","3,575","4,148",746,209,11224
11225,入間市　　　　,Iruma-shi,"148,390","146,798","1,337","147,162","18,610","91,488","38,075","124,151",745,"1,427","4,856","4,891","128,313","59,004","58,951","39,294","15,276","15,749","8,012","5,586",466,200,11225
11227,朝霞市　　　　,Asaka-shi,"136,299","132,585","2,419","143,195","18,751","90,480","25,398","133,556","1,251","1,022","9,528","8,455","112,517","59,515","59,437","34,266","21,645","10,017","4,784","4,920",777,188,11227
11228,志木市　　　　,Shiki-shi,"72,676","70,938","1,024","76,457","9,518","45,526","17,191","72,233",563,649,"3,845","3,793","57,485","30,607","30,591","19,124","9,581","7,145","3,573","2,742",298,117,11228
11229,和光市　　　　,Wako-shi,"80,826","79,155","1,663","84,161","11,260","55,944","13,602","80,130",748,524,"7,091","6,968","70,569","36,898","36,858","19,746","15,151","5,512","2,645","2,484",523,131,11229
11230,新座市　　　　,Niiza-shi,"162,122","159,326","2,154","166,208","21,855","100,397","39,311","152,219","1,029","1,481","7,793","6,969","138,995","67,250","67,194","42,793","20,226","16,231","8,028","6,553",571,260,11230
11231,桶川市　　　　,Okegawa-shi,"73,936","73,425",472,"75,202","9,094","44,710","20,082","60,352",422,764,"2,842","2,700","62,367","28,685","28,661","19,600","6,726","8,199","4,069","2,683",255,108,11231
11232,久喜市　　　　,Kuki-shi,"152,311","150,491","1,753","152,506","17,818","93,672","40,589","98,436",837,"1,616","5,393","5,201","137,812","59,082","59,035","38,935","14,289","16,325","7,963","5,347",465,174,11232
11233,北本市　　　　,Kitamoto-shi,"67,409","66,869",365,"66,022","7,690","40,610","19,028","53,497",359,722,"2,287","2,150","53,969","26,845","26,822","18,088","6,710","7,817","4,051","2,765",225,77,11233
11234,八潮市　　　　,Yashio-shi,"86,717","83,905","2,321","92,518","11,422","55,106","19,811","82,668",799,780,"4,860","4,496","83,432","35,763","35,726","20,784","11,716","7,686","3,427","2,853",530,187,11234
11235,富士見市　　　,Fujimi-shi,"108,102","104,760","1,215","112,211","13,984","67,166","25,897","100,262",805,"1,023","6,381","5,627","79,986","47,169","47,141","27,122","17,110","10,349","4,996","4,677",480,174,11235
11237,三郷市　　　　,Misato-shi,"136,521","133,581","2,912","142,926","17,491","84,593","34,357","123,097","1,044","1,276","6,025","5,556","120,735","55,288","55,230","35,180","15,580","13,820","6,565","5,610",592,251,11237
11238,蓮田市　　　　,Hasuda-shi,"62,380","61,844",409,"61,540","7,265","36,750","18,290","41,802",351,648,"2,360","2,122","51,703","24,543","24,515","16,455","6,065","7,500","3,876","2,235",221,71,11238
11239,坂戸市　　　　,Sakado-shi,"101,679","99,412","1,585","100,612","12,931","61,664","26,642","68,579",525,"1,002","3,963","4,118","93,960","42,883","42,846","25,229","14,287","10,632","5,449","4,279",344,168,11239
11240,幸手市　　　　,Satte-shi,"52,524","51,707",735,"50,256","5,695","30,872","15,874","26,907",210,600,"1,302","1,531","45,333","20,568","20,540","13,432","5,129","6,233","3,061","2,264",123,75,11240
11241,鶴ヶ島市　　　,Tsurugashima-shi,"70,255","69,317",743,"69,937","8,802","43,641","17,352","60,981",402,664,"3,323","3,060","56,715","28,658","28,631","18,441","8,113","7,428","3,775","2,232",261,104,11241
11242,日高市　　　　,Hidaka-shi,"56,520","55,791",655,"55,294","7,342","32,816","16,287","30,590",261,588,"1,644","1,722","53,911","22,145","22,127","14,558","5,500","6,599","3,465","2,263",166,75,11242
11243,吉川市　　　　,Yoshikawa-shi,"69,738","68,701","1,026","73,248","10,721","43,839","15,097","55,641",581,571,"2,807","2,643","55,857","25,716","25,697","17,296","5,729","5,875","2,760","1,838",312,109,11243
11245,ふじみ野市　　,Fujimino-shi,"110,970","109,199","1,711","114,557","15,152","68,532","27,211","103,978",735,"1,005","5,442","4,911","91,413","45,806","45,774","28,993","13,981","10,746","5,245","4,857",426,146,11245
11246,白岡市　　　　,Shiraoka-shi,"51,535","51,041",264,"52,475","6,477","31,790","13,125","36,203",407,488,"2,012","1,888","39,819","19,183","19,165","13,131","4,128","5,150","2,494","1,466",200,77,11246
11301,伊奈町　　　　,Ina-machi,"44,442","44,021",236,"44,959","7,299","27,303","9,727","34,879",236,352,"1,857","1,619","43,935","16,701","16,683","11,311","4,029","3,896","1,969","1,017",155,69,11301
11324,三芳町　　　　,Miyoshi-machi,"38,456","37,968",412,"38,135","5,123","22,432","10,847","28,868",215,369,"1,291","1,198","45,060","14,328","14,312","9,832","3,276","4,138","2,031","1,342",90,53,11324
11326,毛呂山町　　　,Moroyama-machi,"37,275","36,880",342,"33,178","3,677","22,713","10,694","20,755",108,400,"1,080","1,223","34,604","15,566","15,516","8,295","5,869","4,009","1,993","1,554",95,40,11326
11327,越生町　　　　,Ogose-machi,"11,716","11,622",80,"11,352","1,169","6,906","3,633",...,41,173,389,574,"10,373","4,527","4,520","2,841","1,081","1,394",668,527,29,9,11327
11341,滑川町　　　　,Namegawa-machi,"18,212","17,846",312,"19,562","2,899","11,338","3,929",...,167,161,930,664,"18,018","6,785","6,775","4,211","1,815","1,366",653,498,52,24,11341
11342,嵐山町　　　　,Ranzan-machi,"18,341","18,071",239,"17,747","1,894","10,921","5,405","10,523",70,197,671,652,"18,794","6,968","6,935","4,216","1,828","1,980",969,696,58,13,11342
11343,小川町　　　　,Ogawa-machi,"31,178","30,979",199,"29,075","2,817","18,392","9,908","5,631",97,427,675,907,"25,606","12,007","11,990","7,740","2,738","3,760","1,901","1,346",63,39,11343
11346,川島町　　　　,Kawajima-machi,"20,788","20,592",196,"19,672","2,223","12,387","6,169",...,73,235,561,685,"21,424","7,238","7,234","4,646","1,355","2,195","1,006",616,52,26,11346
11347,吉見町　　　　,Yoshimi-machi,"19,631","19,501",117,"18,654","1,863","12,275","5,471",...,64,231,470,567,"17,230","6,834","6,825","4,535","1,176","1,961",879,544,43,24,11347
11348,鳩山町　　　　,Hatoyama-machi,"14,338","14,264",73,"13,446","1,153","7,599","5,583","7,364",32,191,324,388,"13,702","5,309","5,292","3,824",871,"2,251","1,228",530,29,21,11348
11349,ときがわ町　　,Tokigawa-machi,"11,492","11,378",114,"10,899","1,017","6,739","3,734",...,28,150,249,278,"10,316","4,199","4,186","2,656",856,"1,372",624,427,26,12,11349
11361,横瀬町　　　　,Yokoze-machi,"8,519","8,469",44,"8,131","1,031","4,886","2,595",...,36,129,254,227,"7,044","3,074","3,070","1,871",673,846,434,324,26,2,11361
11362,皆野町　　　　,Minano-machi,"10,133","10,100",31,"9,521","1,144","5,538","3,442",...,48,160,223,264,"9,274","3,662","3,653","2,201",801,"1,106",571,496,21,10,11362
11363,長瀞町　　　　,Nagatoro-machi,"7,324","7,308",16,"6,883",775,"3,984","2,564",...,24,106,151,256,"6,301","2,648","2,642","1,621",538,824,425,348,7,9,11363
11365,小鹿野町　　　,Ogano-machi,"12,117","12,026",91,"11,214","1,367","6,712","4,037",...,39,188,150,254,"11,335","4,363","4,345","2,559",950,"1,262",655,576,16,14,11365
11369,東秩父村　　　,Higashichichibu-mura,"2,915","2,905",9,"2,711",227,"1,643","1,044",...,7,43,39,48,"2,317","1,028","1,027",573,204,322,153,128,7,0,11369
11381,美里町　　　　,Misato-machi,"11,207","11,139",68,"11,113","1,279","6,592","3,336",...,40,179,360,317,"11,751","3,612","3,593","2,265",567,"1,022",448,300,26,12,11381
11383,神川町　　　　,Kamikawa-machi,"13,730","13,435",188,"13,365","1,575","8,253","3,808",...,51,212,459,457,"12,571","5,033","5,015","2,985","1,294","1,234",568,490,34,19,11383
11385,上里町　　　　,Kamisato-machi,"30,565","29,698",854,"30,848","4,242","19,034","7,270",...,170,355,"1,174","1,175","25,882","11,225","11,191","7,323","2,485","2,640","1,274",925,80,40,11385
11408,寄居町　　　　,Yorii-machi,"34,081","33,796",279,"32,915","3,680","20,339","9,996",...,183,398,962,"1,224","32,832","12,934","12,910","7,890","3,174","3,591","1,706","1,424",99,45,11408
11442,宮代町　　　　,Miyashiro-machi,"33,705","33,298",292,"33,824","3,581","19,920","10,096","17,185",206,385,"1,258","1,255","27,681","13,728","13,710","8,372","4,004","4,033","2,061","1,279",116,38,11442
11464,杉戸町　　　　,Sugito-machi,"45,495","45,084",350,"44,482","5,341","27,097","12,993","24,817",176,455,"1,371","1,417","40,507","17,348","17,321","11,677","3,860","5,288","2,639","1,571",116,75,11464
11465,松伏町　　　　,Matsubushi-machi,"30,061","29,793",225,"28,837","3,883","18,400","7,716","20,574",127,292,785,965,"23,406","10,702","10,672","7,411","1,977","2,982","1,393",878,72,59,11465
12,千葉県　　　,Chiba-ken,"6,222,666","6,047,216","90,178","6,322,897","762,112","3,779,812","1,584,419","4,621,965","40,168","62,118","285,833","271,560","5,582,241","2,609,132","2,604,839","1,536,285","843,071","605,717","309,018","258,253","24,996","9,187",12
12100,千葉市　　　　,Chiba-shi,"971,882","940,070","16,506","974,726","122,062","597,580","238,213","884,360","5,976","9,352","51,979","47,196","951,528","417,857","416,827","251,089","140,014","93,703","48,665","43,847","3,959","1,438",12100
12101,  中央区　　　　,  Chuo-ku,"205,070","201,262","3,098","210,245","23,938","134,953","45,880","198,595","1,474","2,060","14,463","12,768","253,750","95,227","94,792","49,691","39,426","16,817","8,165","9,039","1,250",368,12101
12102,  花見川区　　　,  Hanamigawa-ku,"179,200","171,929","2,545","176,932","20,692","108,964","47,695","159,851","1,007","1,840","9,425","8,873","142,885","77,732","77,666","46,815","26,117","18,956","9,716","9,156",701,248,12102
12103,  稲毛区　　　　,  Inage-ku,"160,968","154,190","2,303","158,277","20,103","97,173","39,085","157,060",979,"1,522","8,734","7,886","150,157","71,334","71,191","41,116","25,999","15,648","8,184","7,675",626,221,12103
12104,  若葉区　　　　,  Wakaba-ku,"151,078","145,811","2,126","149,068","17,218","84,832","44,079","119,536",853,"1,735","7,058","6,747","130,011","62,773","62,495","37,858","19,089","16,775","8,824","7,890",571,227,12104
12105,  緑区　　　　　,  Midori-ku,"126,848","125,552",994,"130,055","19,763","80,799","26,169","100,600",963,"1,052","5,540","5,115","101,834","46,792","46,703","33,118","9,953","10,057","5,202","3,222",447,203,12105
12106,  美浜区　　　　,  Mihama-ku,"148,718","141,326","5,440","150,149","20,348","90,859","35,305","148,718",700,"1,143","6,759","5,807","172,891","63,999","63,980","42,491","19,430","15,450","8,574","6,865",364,171,12106
12202,銚子市　　　　,Choshi-shi,"64,415","62,556","1,708","59,109","5,780","36,797","21,627","31,947",186,957,"1,139","1,577","63,563","26,234","26,203","13,052","8,516","6,750","3,146","3,434",144,76,12202
12203,市川市　　　　,Ichikawa-shi,"481,732","439,737","6,479","491,764","49,931","284,939","104,735","471,013","3,847","3,798","29,067","27,549","395,940","228,845","228,569","114,458","92,894","40,821","20,298","23,955","2,739",688,12203
12204,船橋市　　　　,Funabashi-shi,"622,890","606,058","11,074","644,966","82,258","391,731","142,446","597,300","4,458","5,578","31,570","28,762","524,471","272,432","272,028","160,380","96,335","58,117","29,477","24,910","2,888",852,12204
12205,館山市　　　　,Tateyama-shi,"47,464","47,082",309,"45,767","5,205","24,640","17,486","16,622",237,691,"1,742","1,692","48,669","20,146","20,064","11,050","6,580","5,775","3,293","3,386",153,70,12205
12206,木更津市　　　,Kisarazu-shi,"134,141","131,502","1,671","136,034","17,688","80,841","34,730","98,356",980,"1,416","6,185","5,413","131,104","54,920","54,827","32,046","17,399","12,762","6,676","5,458",618,279,12206
12207,松戸市　　　　,Matsudo-shi,"483,480","469,318","9,063","498,457","56,055","296,656","121,666","464,974","3,272","4,717","22,476","21,429","396,635","215,627","215,322","122,358","80,065","47,416","23,881","25,317","2,082",728,12207
12208,野田市　　　　,Noda-shi,"153,583","150,905","1,638","154,140","19,075","91,030","42,678","100,127",811,"1,663","5,165","4,622","144,018","59,712","59,638","37,546","15,727","16,538","8,341","5,513",490,285,12208
12210,茂原市　　　　,Mobara-shi,"89,688","88,103",831,"88,280","9,596","51,480","26,767","32,295",435,"1,101","2,622","3,075","86,053","36,026","35,973","21,671","9,951","9,909","5,059","3,802",302,153,12210
12211,成田市　　　　,Narita-shi,"131,190","126,696","2,755","131,833","18,347","83,806","27,531","80,812",851,"1,106","7,034","8,704","162,211","55,462","55,371","28,836","21,053","9,392","4,511","3,964",590,180,12211
12212,佐倉市　　　　,Sakura-shi,"172,739","170,417","1,836","173,619","20,505","102,334","49,464","129,237",754,"1,705","5,095","5,838","143,486","68,696","68,624","46,971","16,494","20,686","11,206","6,529",497,246,12212
12213,東金市　　　　,Togane-shi,"60,652","58,669","1,529","57,743","6,847","37,906","15,418","14,443",305,637,"2,371","2,745","59,801","25,114","25,074","13,769","8,353","5,540","2,690","2,297",191,112,12213
12215,旭市　　　　　,Asahi-shi,"66,586","65,474","1,004","64,689","8,119","39,616","18,706",...,396,839,"1,579","1,725","62,060","23,350","23,273","11,643","6,075","4,944","2,143","2,175",199,102,12215
12216,習志野市　　　,Narashino-shi,"167,909","165,274","2,542","175,197","22,309","107,781","37,455","167,291","1,287","1,403","10,111","8,891","153,146","72,350","72,308","43,971","24,633","15,496","7,779","6,601",743,213,12216
12217,柏市　　　　　,Kashiwa-shi,"413,954","401,194","5,153","428,587","52,766","255,018","99,189","365,667","3,093","3,767","20,890","17,283","374,159","175,691","175,469","105,651","58,724","40,638","21,179","14,510","1,757",645,12217
12218,勝浦市　　　　,Katsuura-shi,"19,248","19,102",146,"16,817","1,419","10,555","7,265",...,54,336,566,662,"18,192","8,965","8,928","3,597","4,057","2,261","1,230","1,316",27,11,12218
12219,市原市　　　　,Ichihara-shi,"274,656","268,228","3,818","273,771","32,976","167,270","70,814","177,051","1,587","2,957","8,354","9,062","257,856","113,518","113,284","66,332","36,152","27,403","13,764","10,557","1,037",503,12219
